periode,annee,mois,cout_panier_par_personne_htg,premiere_publication_htg,revise,editions,bulletin_retenu,definition,source_id,attribution
2023-02,2023,2,5497,5497,non,5,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-03,2023,3,5443,5443,non,5,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-04,2023,4,5570,5570,non,5,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-05,2023,5,5063,5063,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-06,2023,6,4929,4929,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-07,2023,7,4717,4717,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-08,2023,8,4350,4350,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-09,2023,9,4398,4398,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-10,2023,10,4774,4774,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-11,2023,11,5200,5200,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2023-12,2023,12,5184,5184,non,4,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-01,2024,1,5167,5167,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-02,2024,2,5317,5317,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-03,2024,3,5287,5287,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-04,2024,4,5142,5142,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-05,2024,5,5282,5282,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-06,2024,6,5078,5078,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-07,2024,7,4890,4890,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-08,2024,8,4843,4843,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-09,2024,9,4864,4864,non,3,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-10,2024,10,4869,4869,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-11,2024,11,4900,4900,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2024-12,2024,12,4912,4912,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-01,2025,1,4877,4877,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-02,2025,2,4895,4895,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-03,2025,3,5011,5011,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-04,2025,4,5016,5010,oui,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-05,2025,5,4943,4943,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-06,2025,6,4938,4938,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-07,2025,7,4788,4788,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-08,2025,8,4821,4821,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-09,2025,9,4791,4791,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-10,2025,10,4824,4824,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-11,2025,11,4843,4843,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2025-12,2025,12,4813,4813,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2026-01,2026,1,4691,4691,non,2,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2026-02,2026,2,4633,4633,non,1,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2026-03,2026,3,4616,4616,non,1,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2026-04,2026,4,4698,4698,non,1,Bulletin #2 : Panier alimentaire et conditions de sécurité alimentaire Mai 2026,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
