periode,annee,mois,cout_panier_par_personne_htg,premiere_publication_htg,revise,editions,bulletin_retenu,definition,source_id,attribution
2018-03,2018,3,1266,1266,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-04,2018,4,1305,1305,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-05,2018,5,1300,1300,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-06,2018,6,1293,1293,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-07,2018,7,1320,1320,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-08,2018,8,1352,1352,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-09,2018,9,1371,1371,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-10,2018,10,1381,1381,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-11,2018,11,1387,1387,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
2018-12,2018,12,1385,1385,non,2,Bulletin # 21 : Panier alimentaire et conditions de sécurité alimentaire Juillet 2019,"coût nominal mensuel, par personne, d'un panier de 6 produits de base (riz, farine de blé, maïs, haricots, sucre, huile) fournissant 1 870 kcal par jour",SRC-081,"CNSA — Coordination nationale de la sécurité alimentaire, bulletins « Panier alimentaire et conditions de sécurité alimentaire »"
