mois,actes,montant_htg,source_id
2025-10,2,312200.0,SRC-023
2025-11,1,1200000.0,SRC-023
2025-12,103,38213700.0,SRC-023
2026-01,303,21764385.0,SRC-023
2026-02,402,28380655.0,SRC-023
2026-03,302,37482900.0,SRC-023
2026-04,128,9785800.0,SRC-023
