pcode_commune,nom_commune,nom_commune_ht,operateur,points_de_service,libelles_sources,lecture_du_zero,source_id,source,licence,attribution,date_extraction
HT0117,Cité Soleil,Site Solèy,CAM Transfer,14,CITE-SOLEIL,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0421,Ouanaminthe,Wanament,CAM Transfer,14,OUANAMINTHE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0151,Anse à Galets,Ansa galè ,CAM Transfer,13,Anse-à-Galets,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0361,Limbé,Lenbe,CAM Transfer,13,LIMBE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0141,Arcahaie,Akayè,CAM Transfer,11,ARCAHAIE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT1011,Miragoâne,Miragwàn,CAM Transfer,11,MIRAGOANE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0631,Lascahobas,Laskawobas,CAM Transfer,10,LASCAHOBAS,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT1013,Fonds des Nègres,Fon dènèg,CAM Transfer,9,FONDS-DES-NEGRES,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0123,Grand-Goâve,Gran Gwav,CAM Transfer,9,GRAND-GOAVE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0931,Môle Saint Nicolas,Mòl Sen Nikola,CAM Transfer,9,MOLE-SAINT-NICOLAS,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0712,Torbeck,Tòbèk,CAM Transfer,9,TORBECK,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0632,Belladère,Beladè,CAM Transfer,7,BELLADERE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0613,Thomonde,Tomond,CAM Transfer,7,THOMONDE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0541,Dessalines,Desalin,CAM Transfer,6,MARCHAND DESSALINES,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0521,Gros Morne,Gro Mòn,CAM Transfer,6,GROS-MORNE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0934,Jean Rabel,Jan Rabèl,CAM Transfer,6,JEAN-RABEL,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0212,Marigot,Marigo,CAM Transfer,6,MARIGOT,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT1021,Anse-à-Veau,Ansavo,CAM Transfer,5,ANSE-A-VEAU,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0142,Cabaret,Kabarè,CAM Transfer,5,CABARET,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0115,Kenscoff,Kenskòf,CAM Transfer,5,KENSCOFF,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0552,Marmelade,Mamelad,CAM Transfer,5,MARMELADE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0612,Maïssade,Mayisad,CAM Transfer,5,MAISSADE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0523,Anse Rouge,Ans Rouj,CAM Transfer,4,ANSE-ROUGE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0221,Bainet,Benè,CAM Transfer,4,BAINET,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
HT0623,Boucan Carré,Boukan Kare,CAM Transfer,4,BOUCAN-CARRE,,SRC-065,CAM Transfer — répertoire public des points de service,"Liste publiée par l'opérateur pour ses clients — seul le DÉCOMPTE par commune est publié, jamais l'annuaire des sous-agents","CAM Transfer — répertoire public des points de service en Haïti, relevé le 25/08/2026",2026-08-25
