commune,commune_cle,atmart_geo_id,pcode,departement,ecoles_paef_2025,source_id
Carrefour,carrefour,HTC-0113,HT0113,Ouest,3,SRC-023
Delmas,delmas,HTC-0112,HT0112,Ouest,29,SRC-023
Pétion-Ville,petion ville,HTC-0114,HT0114,Ouest,4,SRC-023
Port-au-Prince,port au prince,HTC-0111,HT0111,Ouest,30,SRC-023
Saint-Marc,saint marc,HTC-0531,HT0531,Artibonite,1,SRC-023
Tabarre,tabarre,HTC-0118,HT0118,Ouest,6,SRC-023
