pays,pays_source,exercice_budgetaire_us,eloignements_formels,retours_sous_contrainte,retours_administratifs,expulsions_title_42,total_repatriements,source_id,licence,attribution,date_extraction
Haïti,Haiti,2015,470,180,10,0,660,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2016,380,150,20,0,550,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2017,5770,150,60,0,5980,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2018,990,160,100,0,1250,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2019,730,110,70,0,910,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2020,910,90,70,750,1820,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2021,400,70,20,10210,10700,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2022,1540,60,130,12360,14090,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2023,740,330,230,350,1650,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2024,820,590,150,0,1560,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
Haïti,Haiti,2025,160,70,30,0,260,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
