indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version,signal_population
IND-POP-012,HTC-0323,HT0323,Milot,Milo,Nord,60.1,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-1011,HT1011,Miragoâne,Miragwàn,Nippes,61.1,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0621,HT0621,Mirebalais,Mibalè,Centre,62.2,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0443,HT0443,Mombin Crochu,Monben Krochi,Nord-Est,70.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0423,HT0423,Mont-Organisé,Montòganize,Nord-Est,61.2,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0814,HT0814,Moron,Mowon,Grande'Anse,75.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0931,HT0931,Môle Saint Nicolas,Mòl Sen Nikola,Nord-Ouest,66.7,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0421,HT0421,Ouanaminthe,Wanament,Nord-Est,57.2,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-1014,HT1014,Paillant,Payan,Nippes,61.8,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-012,HTC-0413,HT0413,Perches,Pèch,Nord-Est,56.4,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0834,HT0834,Pestel,Pestèl,Grande'Anse,72.1,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-1022,HT1022,Petit Trou de Nippes,Ti Trou Nip,Nippes,71.8,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0122,HT0122,Petit-Goâve,Tigwav,Ouest,61.0,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-1012,HT1012,Petite Rivière de Nippes,Ti Rivyè Nip,Nippes,71.6,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0542,HT0542,Petite Rivière de l'Artibonite,Ti Rivyè Latibonit,Artibonite,60.3,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0344,HT0344,Pignon,Piyon,Nord,63.7,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0372,HT0372,Pilate,Pilat,Nord,77.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0322,HT0322,Plaine du Nord,Plèn dinò,Nord,61.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0371,HT0371,Plaisance,Plezans,Nord,69.5,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-1025,HT1025,Plaisance du Sud,Plezans Disid,Nippes,73.2,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0152,HT0152,Pointe à Raquette,Pwent a Rakèt,Ouest,71.3,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0352,HT0352,Port-Margot,Pòmago,Nord,68.3,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0721,HT0721,Port-Salut,Pò Sali,Sud,73.8,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0111,HT0111,Port-au-Prince,Pòtoprens,Ouest,34.0,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0911,HT0911,Port-de-Paix,Pòdpè,Nord-Ouest,54.8,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0742,HT0742,Port-à-Piment,Pòtapiman,Sud,86.1,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0114,HT0114,Pétion-Ville,Petyonvil,Ouest,41.4,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0312,HT0312,Quartier Morin,Katye Moren,Nord,54.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0343,HT0343,Ranquitte,Rankit,Nord,59.6,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0743,HT0743,Roche à Bâteau,Ròcha Bato,Sud,89.7,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-012,HTC-0832,HT0832,Roseaux,Rozo,Grande'Anse,78.4,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0722,HT0722,Saint Jean du Sud,Sen Jan disid.,Sud,75.3,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0732,HT0732,Saint Louis du Sud,Sen Lwi disid,Sud,70.4,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0921,HT0921,Saint-Louis du Nord,Sen Lwi dinò,Nord-Ouest,64.1,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0531,HT0531,Saint-Marc,Sen Mak,Artibonite,53.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0551,HT0551,Saint-Michel de l'Attalaye,Sen Michèl Latalay,Artibonite,72.5,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0341,HT0341,Saint-Raphaël,Sen Rafayèl,Nord,64.0,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0432,HT0432,Sainte Suzanne,Sent sizàn,Nord-Est,70.1,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0622,HT0622,Saut d'Eau,Sodo,Centre,70.0,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0633,HT0633,Savanette,Savanèt,Centre,64.8,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0118,HT0118,Tabarre,Taba,Ouest,45.4,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0522,HT0522,Terre Neuve,Tènèv,Artibonite,77.3,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0433,HT0433,Terrier Rouge,Tèrye rouj,Nord-Est,59.3,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0233,HT0233,Thiotte,Tiòt,Sud-Est,73.5,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0642,HT0642,Thomassique,Tomasik,Centre,84.6,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0132,HT0132,Thomazeau,Tomazo,Ouest,55.7,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0613,HT0613,Thomonde,Tomond,Centre,77.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0753,HT0753,Tiburon,Tibiwon,Sud,73.4,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0712,HT0712,Torbeck,Tòbèk,Sud,67.6,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0431,HT0431,Trou du Nord,Twou dinò,Nord-Est,59.4,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0441,HT0441,Vallières,Valyè,Nord-Est,56.9,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-012,HTC-0532,HT0532,Verrettes,Vèrèt,Artibonite,60.3,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-012,HTC-0716,HT0716,Île à Vache,Ilavach,Sud,75.2,dépendants / 100 personnes de 15-64 ans,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
