indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version,signal_population
IND-POP-004,HTC-0135,HT0135,Fonds-Verrettes,Fonvèrèt,Ouest,29629,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0411,HT0411,Fort-Liberté,Fòlibète,Nord-Est,25912,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0133,HT0133,Ganthier,Gantye,Ouest,42566,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0511,HT0511,Gonaïves,Gonayiv,Artibonite,240924,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0232,HT0232,Grand Gosier,Gran Gozye,Sud-Est,14160,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1032,HT1032,Grand-Boucan,Gran Boukan,Nippes,3745,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0123,HT0123,Grand-Goâve,Gran Gwav,Ouest,92853,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0331,HT0331,Grande Rivière Du Nord,Grann Rivyè dinò,Nord,28424,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0543,HT0543,Grande Saline,Grand Salin,Artibonite,15768,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0116,HT0116,Gressier,Gresye,Ouest,2496,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,aberrant
IND-POP-004,HTC-0521,HT0521,Gros Morne,Gro Mòn,Artibonite,96961,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0611,HT0611,Hinche,Ench,Centre,96591,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0211,HT0211,Jacmel,Jakmèl,Sud-Est,159819,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0934,HT0934,Jean Rabel,Jan Rabèl,Nord-Ouest,98426,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0811,HT0811,Jérémie,Jeremi,Grande'Anse,95782,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0115,HT0115,Kenscoff,Kenskòf,Ouest,40792,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1023,HT1023,L'Asile,Lazil,Nippes,27268,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0513,HT0513,L'Estère,Lestè,Artibonite,28423,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0533,HT0533,La Chapelle,Lachapèl,Artibonite,19019,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0912,HT0912,La Tortue,Latòti,Nord-Ouest,23422,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0214,HT0214,La Vallée,Lavale,Sud-Est,27293,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0345,HT0345,La Victoire,La viktwa,Nord,6590,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0631,HT0631,Lascahobas,Laskawobas,Centre,37542,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0752,HT0752,Les Anglais,Anglè yo,Sud,21922,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0711,HT0711,Les Cayes,Okay,Sud,131243,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0823,HT0823,Les Irois,Lèziwa,Grande'Anse,14165,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0361,HT0361,Limbé,Lenbe,Nord,58771,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0313,HT0313,Limonade,Limonad,Nord,37777,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0121,HT0121,Léogâne,Leyogàn,Ouest,146528,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0715,HT0715,Maniche,Manich,Sud,15480,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0212,HT0212,Marigot,Marigo,Sud-Est,54291,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0552,HT0552,Marmelade,Mamelad,Artibonite,23169,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0612,HT0612,Maïssade,Mayisad,Centre,45049,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0323,HT0323,Milot,Milo,Nord,21363,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1011,HT1011,Miragoâne,Miragwàn,Nippes,43840,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0621,HT0621,Mirebalais,Mibalè,Centre,79876,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0443,HT0443,Mombin Crochu,Monben Krochi,Nord-Est,23602,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0423,HT0423,Mont-Organisé,Montòganize,Nord-Est,15310,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0814,HT0814,Moron,Mowon,Grande'Anse,20861,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0931,HT0931,Môle Saint Nicolas,Mòl Sen Nikola,Nord-Ouest,21602,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-0421,HT0421,Ouanaminthe,Wanament,Nord-Est,78433,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-004,HTC-1014,HT1014,Paillant,Payan,Nippes,12143,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-004,HTC-0413,HT0413,Perches,Pèch,Nord-Est,8759,habitants,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
