indicateur_id,atmart_geo_id,pcode_commune,commune,commune_ht,departement,valeur,unite,annee_reference,statut_valeur,niveau_qualite,source,version,signal_population
IND-POP-010,HTC-0812,HT0812,Abricots,Abriko,Grande'Anse,39.4,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0321,HT0321,Acul du Nord,Akil dinò,Nord,29.9,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0523,HT0523,Anse Rouge,Ans Rouj,Artibonite,34.3,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0821,HT0821,Anse d'Hainault,Ansdeno,Grande'Anse,38.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-0151,HT0151,Anse à Galets,Ansa galè ,Ouest,35.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-0922,HT0922,Anse-à-Foleur,Ansafolè,Nord-Ouest,37.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0234,HT0234,Anse-à-Pître,Ansapit,Sud-Est,39.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-1021,HT1021,Anse-à-Veau,Ansavo,Nippes,34.9,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0731,HT0731,Aquin,Aken,Sud,32.9,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0141,HT0141,Arcahaie,Akayè,Ouest,33.3,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-1024,HT1024,Arnaud,Ano,Nippes,35.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0723,HT0723,Arniquet,Anikè,Sud,35.4,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0332,HT0332,Bahon,Baron,Nord,33.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0932,HT0932,Baie de Henne,Bèdeyèn,Nord-Ouest,38.2,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0221,HT0221,Bainet,Benè,Sud-Est,36.6,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-1031,HT1031,Baradères,Baradè,Nippes,36.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0362,HT0362,Bas Limbé,Ba Lenbe,Nord,32.9,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0913,HT0913,Bassin Bleu,Basenble,Nord-Ouest,35.7,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0833,HT0833,Beaumont,Bomon,Grande'Anse,34.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-0632,HT0632,Belladère,Beladè,Centre,39.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0231,HT0231,Belle-Anse,Bèlans,Sud-Est,40.4,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0933,HT0933,Bombardopolis,Bonbadopolis,Nord-Ouest,35.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0813,HT0813,Bonbon,Trou Bonbon,Grande'Anse,37.3,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0351,HT0351,Borgne,Bòn,Nord,37.3,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0623,HT0623,Boucan Carré,Boukan Kare,Centre,38.8,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0142,HT0142,Cabaret,Kabarè,Ouest,32.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0714,HT0714,Camp-Perrin,Kanperen,Sud,32.6,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0311,HT0311,Cap-Haïtien,Kap Ayisyen,Nord,28.6,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0422,HT0422,Capotille,Kapotiy,Nord-Est,35.4,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-0434,HT0434,Caracol,Karakòl,Nord-Est,31.4,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0442,HT0442,Carice,karis,Nord-Est,36.8,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0113,HT0113,Carrefour,Kafou,Ouest,24.3,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0733,HT0733,Cavaillon,Kavayon,Sud,34.7,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0213,HT0213,Cayes-Jacmel,Kay Jakmèl,Sud-Est,37.1,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0614,HT0614,Cerca Carvajal,Sèka Kavajal,Centre,40.8,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0641,HT0641,Cerca La Source,Sèka Lasous,Centre,41.7,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0815,HT0815,Chambellan,Chanbelan,Grande'Anse,38.8,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0914,HT0914,Chamsolme,Chansòlm,Nord-Ouest,38.3,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0713,HT0713,Chantal,Chantal,Sud,35.9,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0751,HT0751,Chardonnières,Chadonyè,Sud,40.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0117,HT0117,Cité Soleil,Site Solèy,Ouest,28.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0831,HT0831,Corail,Koray,Grande'Anse,38.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-0134,HT0134,Cornillon / Grand Bois,Kòniyon / Gran Bwa,Ouest,35.7,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0131,HT0131,Croix-Des-Bouquets,Kwadèboukè,Ouest,30.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-0741,HT0741,Côteaux,Okoto,Sud,36.2,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0222,HT0222,Côtes de Fer,Kòtdefè,Sud-Est,35.7,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0822,HT0822,Dame Marie,Dam Mari,Grande'Anse,33.1,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,ecart_fort
IND-POP-010,HTC-0112,HT0112,Delmas,Dèlma,Ouest,28.7,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0544,HT0544,Desdunes,Dedin,Artibonite,30.1,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0541,HT0541,Dessalines,Desalin,Artibonite,34.2,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0342,HT0342,Dondon,Dondon,Nord,31.1,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0512,HT0512,Ennery,Ènri,Artibonite,34.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0412,HT0412,Ferrier,Ferye,Nord-Est,33.1,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-1013,HT1013,Fonds des Nègres,Fon dènèg,Nippes,33.8,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0135,HT0135,Fonds-Verrettes,Fonvèrèt,Ouest,41.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0411,HT0411,Fort-Liberté,Fòlibète,Nord-Est,30.4,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0133,HT0133,Ganthier,Gantye,Ouest,30.0,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0511,HT0511,Gonaïves,Gonayiv,Artibonite,30.8,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0232,HT0232,Grand Gosier,Gran Gozye,Sud-Est,39.5,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-1032,HT1032,Grand-Boucan,Gran Boukan,Nippes,35.9,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0123,HT0123,Grand-Goâve,Gran Gwav,Ouest,30.1,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
IND-POP-010,HTC-0331,HT0331,Grande Rivière Du Nord,Grann Rivyè dinò,Nord,29.3,%,2024,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),v1.2026.07,concordant
