pays,pays_source,annee_civile,mois_civil,periode,exercice_budgetaire_us,renvois_tous_types,source_id,licence,attribution,date_extraction
République dominicaine,Dominican Republic,2010,9,2010-09,2010,380,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2010,10,2010-10,2011,290,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2010,11,2010-11,2011,310,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2010,12,2010-12,2011,280,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,1,2011-01,2011,340,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,2,2011-02,2011,240,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,3,2011-03,2011,350,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,4,2011-04,2011,300,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,5,2011-05,2011,310,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,6,2011-06,2011,350,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,7,2011-07,2011,270,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,8,2011-08,2011,250,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,9,2011-09,2011,400,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,10,2011-10,2012,230,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
République dominicaine,Dominican Republic,2011,11,2011-11,2012,320,SRC-056,Domaine public — œuvre du gouvernement fédéral américain (17 U.S.C. § 105),"U.S. Department of Homeland Security, Office of Homeland Security Statistics — Key Homeland Security Metrics, Repatriations",2026-08-23
