enquete,annee,region,pcode_region_enquete,cartographiable,indicateur_id,precision_source,valeur,ic_bas,ic_haut,denominateur_pondere,denominateur_brut
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_RDW,15-24,27.0,,,192,350
EMMUS 2000,2000,Nord,412004,oui,ED_LITY_W_RDW,15-24,31.0,,,348,509
EMMUS 2000,2000,Nord-Est,412005,oui,ED_LITY_W_RDW,15-24,25.5,,,147,362
EMMUS 2000,2000,Nord-Ouest,412012,oui,ED_LITY_W_RDW,15-24,31.8,,,138,302
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,ED_LITY_W_RDW,15-24,29.2,,,486,458
EMMUS 2000,2000,Sud,412008,oui,ED_LITY_W_RDW,15-24,36.3,,,293,432
EMMUS 2000,2000,Sud-Est,412003,oui,ED_LITY_W_RDW,15-24,34.1,,,200,349
EMMUS 2006,2006,Aire métropolitaine,412001,oui,ED_LITY_W_RDW,15-24,15.2,,,1287,839
EMMUS 2006,2006,Artibonite,412006,oui,ED_LITY_W_RDW,15-24,21.2,,,646,377
EMMUS 2006,2006,Centre,412007,oui,ED_LITY_W_RDW,15-24,23.4,,,347,362
EMMUS 2006,2006,Grand'Anse,412010,oui,ED_LITY_W_RDW,15-24,22.0,,,157,348
EMMUS 2006,2006,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_RDW,15-24,26.9,,,255,669
EMMUS 2006,2006,Nippes,412011,oui,ED_LITY_W_RDW,15-24,34.6,,,99,321
EMMUS 2006,2006,Nord,412004,oui,ED_LITY_W_RDW,15-24,31.9,,,469,461
EMMUS 2006,2006,Nord-Est,412005,oui,ED_LITY_W_RDW,15-24,29.3,,,149,403
EMMUS 2006,2006,Nord-Ouest,412012,oui,ED_LITY_W_RDW,15-24,25.7,,,256,449
EMMUS 2006,2006,Reste de l'Ouest,412002,oui,ED_LITY_W_RDW,15-24,23.7,,,786,444
EMMUS 2006,2006,Sud,412008,oui,ED_LITY_W_RDW,15-24,29.4,,,293,376
EMMUS 2006,2006,Sud-Est,412003,oui,ED_LITY_W_RDW,15-24,32.3,,,217,353
EMMUS 2012,2012,Aire métropolitaine,412001,oui,ED_LITY_W_RDW,15-24,9.8,,,1550,995
EMMUS 2012,2012,Artibonite,412006,oui,ED_LITY_W_RDW,15-24,23.6,,,835,469
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,ED_LITY_W_RDW,15-24,15.2,,,229,506
EMMUS 2012,2012,Centre,412007,oui,ED_LITY_W_RDW,15-24,25.5,,,366,448
EMMUS 2012,2012,Grand'Anse,412010,oui,ED_LITY_W_RDW,15-24,17.6,,,210,402
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_RDW,15-24,19.3,,,410,796
EMMUS 2012,2012,Nippes,412011,oui,ED_LITY_W_RDW,15-24,21.1,,,199,394
EMMUS 2012,2012,Nord,412004,oui,ED_LITY_W_RDW,15-24,22.5,,,625,604
EMMUS 2012,2012,Nord-Est,412005,oui,ED_LITY_W_RDW,15-24,24.1,,,237,498
EMMUS 2012,2012,Nord-Ouest,412012,oui,ED_LITY_W_RDW,15-24,20.9,,,313,533
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,ED_LITY_W_RDW,15-24,14.5,,,915,526
EMMUS 2012,2012,Sud,412008,oui,ED_LITY_W_RDW,15-24,21.0,,,445,487
EMMUS 2012,2012,Sud-Est,412003,oui,ED_LITY_W_RDW,15-24,18.3,,,277,410
EMMUS 2016,2016,Aire métropolitaine,412001,oui,ED_LITY_W_RDW,15-24,72.4,,,1411,822
EMMUS 2016,2016,Artibonite,412006,oui,ED_LITY_W_RDW,15-24,70.0,,,894,734
EMMUS 2016,2016,Centre,412007,oui,ED_LITY_W_RDW,15-24,57.2,,,383,471
EMMUS 2016,2016,Grand'Anse,412010,oui,ED_LITY_W_RDW,15-24,73.5,,,233,405
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_RDW,15-24,76.8,,,409,766
EMMUS 2016,2016,Nippes,412011,oui,ED_LITY_W_RDW,15-24,81.1,,,177,361
EMMUS 2016,2016,Nord,412004,oui,ED_LITY_W_RDW,15-24,75.8,,,647,604
EMMUS 2016,2016,Nord-Est,412005,oui,ED_LITY_W_RDW,15-24,75.5,,,249,516
EMMUS 2016,2016,Nord-Ouest,412012,oui,ED_LITY_W_RDW,15-24,79.2,,,292,594
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,ED_LITY_W_RDW,15-24,74.0,,,954,580
EMMUS 2016,2016,Sud,412008,oui,ED_LITY_W_RDW,15-24,81.8,,,414,515
EMMUS 2016,2016,Sud-Est,412003,oui,ED_LITY_W_RDW,15-24,75.8,,,359,478
EMMUS 2000,2000,Aire métropolitaine,412001,oui,ED_LITY_W_SCH,15-24,58.5,,,1601,812
EMMUS 2000,2000,Artibonite,412006,oui,ED_LITY_W_SCH,15-24,16.0,,,554,383
EMMUS 2000,2000,Centre,412007,oui,ED_LITY_W_SCH,15-24,26.3,,,300,321
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_SCH,15-24,26.6,,,192,350
EMMUS 2000,2000,Nord,412004,oui,ED_LITY_W_SCH,15-24,23.9,,,348,509
EMMUS 2000,2000,Nord-Est,412005,oui,ED_LITY_W_SCH,15-24,40.5,,,147,362
EMMUS 2000,2000,Nord-Ouest,412012,oui,ED_LITY_W_SCH,15-24,26.9,,,138,302
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,ED_LITY_W_SCH,15-24,30.6,,,486,458
EMMUS 2000,2000,Sud,412008,oui,ED_LITY_W_SCH,15-24,24.3,,,293,432
EMMUS 2000,2000,Sud-Est,412003,oui,ED_LITY_W_SCH,15-24,25.4,,,200,349
EMMUS 2006,2006,Aire métropolitaine,412001,oui,ED_LITY_W_SCH,15-24,67.9,,,1287,839
EMMUS 2006,2006,Artibonite,412006,oui,ED_LITY_W_SCH,15-24,34.5,,,646,377
EMMUS 2006,2006,Centre,412007,oui,ED_LITY_W_SCH,15-24,22.1,,,347,362
EMMUS 2006,2006,Grand'Anse,412010,oui,ED_LITY_W_SCH,15-24,31.7,,,157,348
EMMUS 2006,2006,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_SCH,15-24,33.9,,,255,669
EMMUS 2006,2006,Nippes,412011,oui,ED_LITY_W_SCH,15-24,37.4,,,99,321
EMMUS 2006,2006,Nord,412004,oui,ED_LITY_W_SCH,15-24,39.7,,,469,461
EMMUS 2006,2006,Nord-Est,412005,oui,ED_LITY_W_SCH,15-24,39.3,,,149,403
EMMUS 2006,2006,Nord-Ouest,412012,oui,ED_LITY_W_SCH,15-24,42.9,,,256,449
EMMUS 2006,2006,Reste de l'Ouest,412002,oui,ED_LITY_W_SCH,15-24,44.4,,,786,444
EMMUS 2006,2006,Sud,412008,oui,ED_LITY_W_SCH,15-24,48.4,,,293,376
EMMUS 2006,2006,Sud-Est,412003,oui,ED_LITY_W_SCH,15-24,38.4,,,217,353
EMMUS 2012,2012,Aire métropolitaine,412001,oui,ED_LITY_W_SCH,15-24,75.6,,,1550,995
EMMUS 2012,2012,Artibonite,412006,oui,ED_LITY_W_SCH,15-24,47.5,,,835,469
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,ED_LITY_W_SCH,15-24,60.9,,,229,506
EMMUS 2012,2012,Centre,412007,oui,ED_LITY_W_SCH,15-24,40.4,,,366,448
EMMUS 2012,2012,Grand'Anse,412010,oui,ED_LITY_W_SCH,15-24,42.9,,,210,402
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_SCH,15-24,47.1,,,410,796
EMMUS 2012,2012,Nippes,412011,oui,ED_LITY_W_SCH,15-24,51.7,,,199,394
EMMUS 2012,2012,Nord,412004,oui,ED_LITY_W_SCH,15-24,52.9,,,625,604
EMMUS 2012,2012,Nord-Est,412005,oui,ED_LITY_W_SCH,15-24,50.2,,,237,498
EMMUS 2012,2012,Nord-Ouest,412012,oui,ED_LITY_W_SCH,15-24,57.9,,,313,533
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,ED_LITY_W_SCH,15-24,57.5,,,915,526
EMMUS 2012,2012,Sud,412008,oui,ED_LITY_W_SCH,15-24,54.6,,,445,487
EMMUS 2012,2012,Sud-Est,412003,oui,ED_LITY_W_SCH,15-24,49.7,,,277,410
EMMUS 2016,2016,Aire métropolitaine,412001,oui,ED_LITY_W_SCH,15-24,11.4,,,1411,822
EMMUS 2016,2016,Artibonite,412006,oui,ED_LITY_W_SCH,15-24,0.9,,,894,734
EMMUS 2016,2016,Centre,412007,oui,ED_LITY_W_SCH,15-24,2.4,,,383,471
EMMUS 2016,2016,Grand'Anse,412010,oui,ED_LITY_W_SCH,15-24,2.4,,,233,405
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_SCH,15-24,2.4,,,409,766
EMMUS 2016,2016,Nippes,412011,oui,ED_LITY_W_SCH,15-24,2.4,,,177,361
EMMUS 2016,2016,Nord,412004,oui,ED_LITY_W_SCH,15-24,3.1,,,647,604
EMMUS 2016,2016,Nord-Est,412005,oui,ED_LITY_W_SCH,15-24,2.0,,,249,516
EMMUS 2016,2016,Nord-Ouest,412012,oui,ED_LITY_W_SCH,15-24,1.5,,,292,594
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,ED_LITY_W_SCH,15-24,4.0,,,954,580
EMMUS 2016,2016,Sud,412008,oui,ED_LITY_W_SCH,15-24,2.9,,,414,515
EMMUS 2016,2016,Sud-Est,412003,oui,ED_LITY_W_SCH,15-24,2.6,,,359,478
EMMUS 2000,2000,Aire métropolitaine,412001,oui,ED_LITY_W_TOT,15-24,100.0,,,1601,812
EMMUS 2000,2000,Artibonite,412006,oui,ED_LITY_W_TOT,15-24,100.0,,,554,383
EMMUS 2000,2000,Centre,412007,oui,ED_LITY_W_TOT,15-24,100.0,,,300,321
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_TOT,15-24,100.0,,,192,350
EMMUS 2000,2000,Nord,412004,oui,ED_LITY_W_TOT,15-24,100.0,,,348,509
EMMUS 2000,2000,Nord-Est,412005,oui,ED_LITY_W_TOT,15-24,100.0,,,147,362
EMMUS 2000,2000,Nord-Ouest,412012,oui,ED_LITY_W_TOT,15-24,100.0,,,138,302
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,ED_LITY_W_TOT,15-24,100.0,,,486,458
EMMUS 2000,2000,Sud,412008,oui,ED_LITY_W_TOT,15-24,100.0,,,293,432
EMMUS 2000,2000,Sud-Est,412003,oui,ED_LITY_W_TOT,15-24,100.0,,,200,349
EMMUS 2006,2006,Aire métropolitaine,412001,oui,ED_LITY_W_TOT,15-24,100.0,,,1287,839
EMMUS 2006,2006,Artibonite,412006,oui,ED_LITY_W_TOT,15-24,100.0,,,646,377
EMMUS 2006,2006,Centre,412007,oui,ED_LITY_W_TOT,15-24,100.0,,,347,362
EMMUS 2006,2006,Grand'Anse,412010,oui,ED_LITY_W_TOT,15-24,100.0,,,157,348
EMMUS 2006,2006,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_TOT,15-24,100.0,,,255,669
EMMUS 2006,2006,Nippes,412011,oui,ED_LITY_W_TOT,15-24,100.0,,,99,321
EMMUS 2006,2006,Nord,412004,oui,ED_LITY_W_TOT,15-24,100.0,,,469,461
EMMUS 2006,2006,Nord-Est,412005,oui,ED_LITY_W_TOT,15-24,100.0,,,149,403
EMMUS 2006,2006,Nord-Ouest,412012,oui,ED_LITY_W_TOT,15-24,100.0,,,256,449
EMMUS 2006,2006,Reste de l'Ouest,412002,oui,ED_LITY_W_TOT,15-24,100.0,,,786,444
EMMUS 2006,2006,Sud,412008,oui,ED_LITY_W_TOT,15-24,100.0,,,293,376
EMMUS 2006,2006,Sud-Est,412003,oui,ED_LITY_W_TOT,15-24,100.0,,,217,353
EMMUS 2012,2012,Aire métropolitaine,412001,oui,ED_LITY_W_TOT,15-24,100.0,,,1550,995
EMMUS 2012,2012,Artibonite,412006,oui,ED_LITY_W_TOT,15-24,100.0,,,835,469
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,ED_LITY_W_TOT,15-24,100.0,,,229,506
EMMUS 2012,2012,Centre,412007,oui,ED_LITY_W_TOT,15-24,100.0,,,366,448
EMMUS 2012,2012,Grand'Anse,412010,oui,ED_LITY_W_TOT,15-24,100.0,,,210,402
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_TOT,15-24,100.0,,,410,796
EMMUS 2012,2012,Nippes,412011,oui,ED_LITY_W_TOT,15-24,100.0,,,199,394
EMMUS 2012,2012,Nord,412004,oui,ED_LITY_W_TOT,15-24,100.0,,,625,604
EMMUS 2012,2012,Nord-Est,412005,oui,ED_LITY_W_TOT,15-24,100.0,,,237,498
EMMUS 2012,2012,Nord-Ouest,412012,oui,ED_LITY_W_TOT,15-24,100.0,,,313,533
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,ED_LITY_W_TOT,15-24,100.0,,,915,526
EMMUS 2012,2012,Sud,412008,oui,ED_LITY_W_TOT,15-24,100.0,,,445,487
EMMUS 2012,2012,Sud-Est,412003,oui,ED_LITY_W_TOT,15-24,100.0,,,277,410
EMMUS 2016,2016,Aire métropolitaine,412001,oui,ED_LITY_W_TOT,15-24,100.0,,,1411,822
EMMUS 2016,2016,Artibonite,412006,oui,ED_LITY_W_TOT,15-24,100.0,,,894,734
EMMUS 2016,2016,Centre,412007,oui,ED_LITY_W_TOT,15-24,100.0,,,383,471
EMMUS 2016,2016,Grand'Anse,412010,oui,ED_LITY_W_TOT,15-24,100.0,,,233,405
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_TOT,15-24,100.0,,,409,766
EMMUS 2016,2016,Nippes,412011,oui,ED_LITY_W_TOT,15-24,100.0,,,177,361
EMMUS 2016,2016,Nord,412004,oui,ED_LITY_W_TOT,15-24,100.0,,,647,604
EMMUS 2016,2016,Nord-Est,412005,oui,ED_LITY_W_TOT,15-24,100.0,,,249,516
EMMUS 2016,2016,Nord-Ouest,412012,oui,ED_LITY_W_TOT,15-24,100.0,,,292,594
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,ED_LITY_W_TOT,15-24,100.0,,,954,580
EMMUS 2016,2016,Sud,412008,oui,ED_LITY_W_TOT,15-24,100.0,,,414,515
EMMUS 2016,2016,Sud-Est,412003,oui,ED_LITY_W_TOT,15-24,100.0,,,359,478
EMMUS 2000,2000,Aire métropolitaine,412001,oui,ED_LITY_W_UNW,15-24,812.0,,,1601,
EMMUS 2000,2000,Artibonite,412006,oui,ED_LITY_W_UNW,15-24,383.0,,,554,
EMMUS 2000,2000,Centre,412007,oui,ED_LITY_W_UNW,15-24,321.0,,,300,
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_UNW,15-24,350.0,,,192,
EMMUS 2000,2000,Nord,412004,oui,ED_LITY_W_UNW,15-24,509.0,,,348,
EMMUS 2000,2000,Nord-Est,412005,oui,ED_LITY_W_UNW,15-24,362.0,,,147,
EMMUS 2000,2000,Nord-Ouest,412012,oui,ED_LITY_W_UNW,15-24,302.0,,,138,
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,ED_LITY_W_UNW,15-24,458.0,,,486,
EMMUS 2000,2000,Sud,412008,oui,ED_LITY_W_UNW,15-24,432.0,,,293,
EMMUS 2000,2000,Sud-Est,412003,oui,ED_LITY_W_UNW,15-24,349.0,,,200,
EMMUS 2006,2006,Aire métropolitaine,412001,oui,ED_LITY_W_UNW,15-24,839.0,,,1287,
EMMUS 2006,2006,Artibonite,412006,oui,ED_LITY_W_UNW,15-24,377.0,,,646,
EMMUS 2006,2006,Centre,412007,oui,ED_LITY_W_UNW,15-24,362.0,,,347,
EMMUS 2006,2006,Grand'Anse,412010,oui,ED_LITY_W_UNW,15-24,348.0,,,157,
EMMUS 2006,2006,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_UNW,15-24,669.0,,,255,
EMMUS 2006,2006,Nippes,412011,oui,ED_LITY_W_UNW,15-24,321.0,,,99,
EMMUS 2006,2006,Nord,412004,oui,ED_LITY_W_UNW,15-24,461.0,,,469,
EMMUS 2006,2006,Nord-Est,412005,oui,ED_LITY_W_UNW,15-24,403.0,,,149,
EMMUS 2006,2006,Nord-Ouest,412012,oui,ED_LITY_W_UNW,15-24,449.0,,,256,
EMMUS 2006,2006,Reste de l'Ouest,412002,oui,ED_LITY_W_UNW,15-24,444.0,,,786,
EMMUS 2006,2006,Sud,412008,oui,ED_LITY_W_UNW,15-24,376.0,,,293,
EMMUS 2006,2006,Sud-Est,412003,oui,ED_LITY_W_UNW,15-24,353.0,,,217,
EMMUS 2012,2012,Aire métropolitaine,412001,oui,ED_LITY_W_UNW,15-24,995.0,,,1550,
EMMUS 2012,2012,Artibonite,412006,oui,ED_LITY_W_UNW,15-24,469.0,,,835,
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,ED_LITY_W_UNW,15-24,506.0,,,229,
EMMUS 2012,2012,Centre,412007,oui,ED_LITY_W_UNW,15-24,448.0,,,366,
EMMUS 2012,2012,Grand'Anse,412010,oui,ED_LITY_W_UNW,15-24,402.0,,,210,
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_UNW,15-24,796.0,,,410,
EMMUS 2012,2012,Nippes,412011,oui,ED_LITY_W_UNW,15-24,394.0,,,199,
EMMUS 2012,2012,Nord,412004,oui,ED_LITY_W_UNW,15-24,604.0,,,625,
EMMUS 2012,2012,Nord-Est,412005,oui,ED_LITY_W_UNW,15-24,498.0,,,237,
EMMUS 2012,2012,Nord-Ouest,412012,oui,ED_LITY_W_UNW,15-24,533.0,,,313,
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,ED_LITY_W_UNW,15-24,526.0,,,915,
EMMUS 2012,2012,Sud,412008,oui,ED_LITY_W_UNW,15-24,487.0,,,445,
EMMUS 2012,2012,Sud-Est,412003,oui,ED_LITY_W_UNW,15-24,410.0,,,277,
EMMUS 2016,2016,Aire métropolitaine,412001,oui,ED_LITY_W_UNW,15-24,822.0,,,1411,
EMMUS 2016,2016,Artibonite,412006,oui,ED_LITY_W_UNW,15-24,734.0,,,894,
EMMUS 2016,2016,Centre,412007,oui,ED_LITY_W_UNW,15-24,471.0,,,383,
EMMUS 2016,2016,Grand'Anse,412010,oui,ED_LITY_W_UNW,15-24,405.0,,,233,
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,ED_LITY_W_UNW,15-24,766.0,,,409,
EMMUS 2016,2016,Nippes,412011,oui,ED_LITY_W_UNW,15-24,361.0,,,177,
EMMUS 2016,2016,Nord,412004,oui,ED_LITY_W_UNW,15-24,604.0,,,647,
EMMUS 2016,2016,Nord-Est,412005,oui,ED_LITY_W_UNW,15-24,516.0,,,249,
EMMUS 2016,2016,Nord-Ouest,412012,oui,ED_LITY_W_UNW,15-24,594.0,,,292,
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,ED_LITY_W_UNW,15-24,580.0,,,954,
EMMUS 2016,2016,Sud,412008,oui,ED_LITY_W_UNW,15-24,515.0,,,414,
EMMUS 2016,2016,Sud-Est,412003,oui,ED_LITY_W_UNW,15-24,478.0,,,359,
EMMUS 2000,2000,Aire métropolitaine,412001,oui,ED_MDIA_M_3MD,,39.9,,,742,374
EMMUS 2000,2000,Artibonite,412006,oui,ED_MDIA_M_3MD,,5.3,,,473,242
EMMUS 2000,2000,Centre,412007,oui,ED_MDIA_M_3MD,,1.0,,,191,192
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,ED_MDIA_M_3MD,,3.0,,,185,313
EMMUS 2000,2000,Nord,412004,oui,ED_MDIA_M_3MD,,6.9,,,241,347
EMMUS 2000,2000,Nord-Est,412005,oui,ED_MDIA_M_3MD,,8.9,,,91,236
EMMUS 2000,2000,Nord-Ouest,412012,oui,ED_MDIA_M_3MD,,6.1,,,120,240
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,ED_MDIA_M_3MD,,14.1,,,418,338
EMMUS 2000,2000,Sud,412008,oui,ED_MDIA_M_3MD,,11.0,,,206,293
EMMUS 2000,2000,Sud-Est,412003,oui,ED_MDIA_M_3MD,,1.7,,,141,246
EMMUS 2006,2006,Aire métropolitaine,412001,oui,ED_MDIA_M_3MD,,40.2,,,1016,616
EMMUS 2006,2006,Artibonite,412006,oui,ED_MDIA_M_3MD,,10.1,,,754,415
EMMUS 2006,2006,Centre,412007,oui,ED_MDIA_M_3MD,,4.3,,,331,358
EMMUS 2006,2006,Grand'Anse,412010,oui,ED_MDIA_M_3MD,,7.3,,,179,396
EMMUS 2006,2006,Grand'Anse et Nippes réunies,412009,non,ED_MDIA_M_3MD,,5.2,,,287,720
EMMUS 2006,2006,Nippes,412011,oui,ED_MDIA_M_3MD,,1.8,,,109,324
EMMUS 2006,2006,Nord,412004,oui,ED_MDIA_M_3MD,,6.5,,,385,371
EMMUS 2006,2006,Nord-Est,412005,oui,ED_MDIA_M_3MD,,4.7,,,146,382
EMMUS 2006,2006,Nord-Ouest,412012,oui,ED_MDIA_M_3MD,,9.0,,,233,378
EMMUS 2006,2006,Reste de l'Ouest,412002,oui,ED_MDIA_M_3MD,,10.4,,,758,416
EMMUS 2006,2006,Sud,412008,oui,ED_MDIA_M_3MD,,4.4,,,299,384
EMMUS 2006,2006,Sud-Est,412003,oui,ED_MDIA_M_3MD,,4.7,,,227,346
EMMUS 2012,2012,Aire métropolitaine,412001,oui,ED_MDIA_M_3MD,,28.0,,,2108,1264
EMMUS 2012,2012,Artibonite,412006,oui,ED_MDIA_M_3MD,,9.5,,,1306,713
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,ED_MDIA_M_3MD,,19.1,,,325,683
EMMUS 2012,2012,Centre,412007,oui,ED_MDIA_M_3MD,,3.2,,,501,626
EMMUS 2012,2012,Grand'Anse,412010,oui,ED_MDIA_M_3MD,,1.8,,,322,630
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,ED_MDIA_M_3MD,,3.4,,,598,1201
EMMUS 2012,2012,Nippes,412011,oui,ED_MDIA_M_3MD,,5.3,,,276,571
EMMUS 2012,2012,Nord,412004,oui,ED_MDIA_M_3MD,,12.2,,,809,766
EMMUS 2012,2012,Nord-Est,412005,oui,ED_MDIA_M_3MD,,12.7,,,277,586
EMMUS 2012,2012,Nord-Ouest,412012,oui,ED_MDIA_M_3MD,,7.4,,,381,645
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,ED_MDIA_M_3MD,,9.8,,,1142,651
EMMUS 2012,2012,Sud,412008,oui,ED_MDIA_M_3MD,,6.8,,,608,675
EMMUS 2012,2012,Sud-Est,412003,oui,ED_MDIA_M_3MD,,4.8,,,380,566
EMMUS 2016,2016,Aire métropolitaine,412001,oui,ED_MDIA_M_3MD,,28.4,,,2055,1109
EMMUS 2016,2016,Artibonite,412006,oui,ED_MDIA_M_3MD,,9.1,,,1119,895
EMMUS 2016,2016,Centre,412007,oui,ED_MDIA_M_3MD,,11.8,,,536,616
EMMUS 2016,2016,Grand'Anse,412010,oui,ED_MDIA_M_3MD,,6.1,,,379,680
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,ED_MDIA_M_3MD,,4.8,,,664,1280
EMMUS 2016,2016,Nippes,412011,oui,ED_MDIA_M_3MD,,3.1,,,285,600
EMMUS 2016,2016,Nord,412004,oui,ED_MDIA_M_3MD,,11.9,,,821,727
EMMUS 2016,2016,Nord-Est,412005,oui,ED_MDIA_M_3MD,,13.8,,,286,578
EMMUS 2016,2016,Nord-Ouest,412012,oui,ED_MDIA_M_3MD,,7.0,,,421,828
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,ED_MDIA_M_3MD,,11.9,,,1224,720
EMMUS 2016,2016,Sud,412008,oui,ED_MDIA_M_3MD,,7.6,,,616,723
EMMUS 2016,2016,Sud-Est,412003,oui,ED_MDIA_M_3MD,,5.0,,,441,597
EMMUS 2000,2000,Aire métropolitaine,412001,oui,ED_MDIA_M_N3M,,2.1,,,742,374
EMMUS 2000,2000,Artibonite,412006,oui,ED_MDIA_M_N3M,,30.4,,,473,242
EMMUS 2000,2000,Centre,412007,oui,ED_MDIA_M_N3M,,39.6,,,191,192
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,ED_MDIA_M_N3M,,44.8,,,185,313
EMMUS 2000,2000,Nord,412004,oui,ED_MDIA_M_N3M,,38.5,,,241,347
EMMUS 2000,2000,Nord-Est,412005,oui,ED_MDIA_M_N3M,,19.3,,,91,236
EMMUS 2000,2000,Nord-Ouest,412012,oui,ED_MDIA_M_N3M,,21.8,,,120,240
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,ED_MDIA_M_N3M,,31.0,,,418,338
EMMUS 2000,2000,Sud,412008,oui,ED_MDIA_M_N3M,,33.7,,,206,293
EMMUS 2000,2000,Sud-Est,412003,oui,ED_MDIA_M_N3M,,31.0,,,141,246
EMMUS 2006,2006,Aire métropolitaine,412001,oui,ED_MDIA_M_N3M,,2.9,,,1016,616
EMMUS 2006,2006,Artibonite,412006,oui,ED_MDIA_M_N3M,,16.3,,,754,415
EMMUS 2006,2006,Centre,412007,oui,ED_MDIA_M_N3M,,21.1,,,331,358
EMMUS 2006,2006,Grand'Anse,412010,oui,ED_MDIA_M_N3M,,17.1,,,179,396
EMMUS 2006,2006,Grand'Anse et Nippes réunies,412009,non,ED_MDIA_M_N3M,,16.6,,,287,720
EMMUS 2006,2006,Nippes,412011,oui,ED_MDIA_M_N3M,,15.7,,,109,324
EMMUS 2006,2006,Nord,412004,oui,ED_MDIA_M_N3M,,7.0,,,385,371
EMMUS 2006,2006,Nord-Est,412005,oui,ED_MDIA_M_N3M,,12.0,,,146,382
EMMUS 2006,2006,Nord-Ouest,412012,oui,ED_MDIA_M_N3M,,18.7,,,233,378
EMMUS 2006,2006,Reste de l'Ouest,412002,oui,ED_MDIA_M_N3M,,10.7,,,758,416
EMMUS 2006,2006,Sud,412008,oui,ED_MDIA_M_N3M,,13.7,,,299,384
EMMUS 2006,2006,Sud-Est,412003,oui,ED_MDIA_M_N3M,,14.4,,,227,346
EMMUS 2012,2012,Aire métropolitaine,412001,oui,ED_MDIA_M_N3M,,3.4,,,2108,1264
EMMUS 2012,2012,Artibonite,412006,oui,ED_MDIA_M_N3M,,16.6,,,1306,713
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,ED_MDIA_M_N3M,,14.5,,,325,683
EMMUS 2012,2012,Centre,412007,oui,ED_MDIA_M_N3M,,18.3,,,501,626
EMMUS 2012,2012,Grand'Anse,412010,oui,ED_MDIA_M_N3M,,35.4,,,322,630
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,ED_MDIA_M_N3M,,27.7,,,598,1201
EMMUS 2012,2012,Nippes,412011,oui,ED_MDIA_M_N3M,,18.8,,,276,571
EMMUS 2012,2012,Nord,412004,oui,ED_MDIA_M_N3M,,14.2,,,809,766
EMMUS 2012,2012,Nord-Est,412005,oui,ED_MDIA_M_N3M,,20.4,,,277,586
EMMUS 2012,2012,Nord-Ouest,412012,oui,ED_MDIA_M_N3M,,22.8,,,381,645
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,ED_MDIA_M_N3M,,15.8,,,1142,651
EMMUS 2012,2012,Sud,412008,oui,ED_MDIA_M_N3M,,22.2,,,608,675
EMMUS 2012,2012,Sud-Est,412003,oui,ED_MDIA_M_N3M,,15.4,,,380,566
