enquete,annee,region,pcode_region_enquete,cartographiable,indicateur_id,precision_source,valeur,ic_bas,ic_haut,denominateur_pondere,denominateur_brut
EMMUS 2016,2016,Grand'Anse,412010,oui,AH_CIGA_M_14C,,14.8,,,17,33
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_14C,,17.9,,,29,54
EMMUS 2016,2016,Nord-Ouest,412012,oui,AH_CIGA_M_14C,,27.0,,,17,36
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,AH_CIGA_M_14C,,18.3,,,58,30
EMMUS 2016,2016,Sud,412008,oui,AH_CIGA_M_14C,,16.6,,,23,25
EMMUS 2016,2016,Sud-Est,412003,oui,AH_CIGA_M_14C,,17.1,,,20,25
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_24C,,4.0,,,72,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_24C,,3.8,,,77,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_24C,,29.4,,,23,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_24C,,12.8,,,38,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_24C,,13.9,,,32,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_24C,,25.5,,,15,31
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_24C,,24.9,,,59,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_24C,,12.5,,,36,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_24C,,14.8,,,16,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_24C,,15.2,,,236,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_24C,,15.4,,,129,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_24C,,14.8,,,63,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_24C,,8.7,,,57,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_24C,,5.8,,,45,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_24C,,7.7,,,64,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_24C,,12.4,,,19,39
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_24C,,10.0,,,49,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_24C,,9.2,,,18,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_24C,,6.5,,,31,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_24C,,3.0,,,130,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_24C,,11.4,,,39,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_24C,,12.2,,,37,52
EMMUS 2016,2016,Aire métropolitaine,412001,oui,AH_CIGA_M_24C,,20.4,,,130,73
EMMUS 2016,2016,Artibonite,412006,oui,AH_CIGA_M_24C,,19.3,,,96,71
EMMUS 2016,2016,Grand'Anse,412010,oui,AH_CIGA_M_24C,,14.6,,,17,33
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_24C,,16.3,,,29,54
EMMUS 2016,2016,Nord-Ouest,412012,oui,AH_CIGA_M_24C,,8.3,,,17,36
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,AH_CIGA_M_24C,,22.0,,,58,30
EMMUS 2016,2016,Sud,412008,oui,AH_CIGA_M_24C,,18.5,,,23,25
EMMUS 2016,2016,Sud-Est,412003,oui,AH_CIGA_M_24C,,29.5,,,20,25
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_25C,,3.4,,,72,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_25C,,0.7,,,77,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_25C,,2.6,,,23,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_25C,,2.8,,,38,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_25C,,2.3,,,32,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_25C,,2.3,,,15,31
EMMUS 2000,2000,Reste de l'Ouest,412002,oui,AH_CIGA_M_25C,,9.9,,,59,39
EMMUS 2000,2000,Sud,412008,oui,AH_CIGA_M_25C,,4.0,,,36,49
EMMUS 2000,2000,Sud-Est,412003,oui,AH_CIGA_M_25C,,0.0,,,16,29
EMMUS 2012,2012,Aire métropolitaine,412001,oui,AH_CIGA_M_25C,,2.1,,,236,129
EMMUS 2012,2012,Artibonite,412006,oui,AH_CIGA_M_25C,,5.4,,,129,61
EMMUS 2012,2012,Camps de déplacés (enquête 2012),412013,non,AH_CIGA_M_25C,,3.4,,,63,125
EMMUS 2012,2012,Centre,412007,oui,AH_CIGA_M_25C,,3.0,,,57,73
EMMUS 2012,2012,Grand'Anse,412010,oui,AH_CIGA_M_25C,,0.0,,,45,88
EMMUS 2012,2012,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_25C,,0.0,,,64,127
EMMUS 2012,2012,Nippes,412011,oui,AH_CIGA_M_25C,,0.0,,,19,39
EMMUS 2012,2012,Nord,412004,oui,AH_CIGA_M_25C,,0.0,,,49,44
EMMUS 2012,2012,Nord-Est,412005,oui,AH_CIGA_M_25C,,0.0,,,18,39
EMMUS 2012,2012,Nord-Ouest,412012,oui,AH_CIGA_M_25C,,0.0,,,31,56
EMMUS 2012,2012,Reste de l'Ouest,412002,oui,AH_CIGA_M_25C,,1.6,,,130,67
EMMUS 2012,2012,Sud,412008,oui,AH_CIGA_M_25C,,4.7,,,39,47
EMMUS 2012,2012,Sud-Est,412003,oui,AH_CIGA_M_25C,,0.0,,,37,52
EMMUS 2016,2016,Aire métropolitaine,412001,oui,AH_CIGA_M_25C,,6.1,,,130,73
EMMUS 2016,2016,Artibonite,412006,oui,AH_CIGA_M_25C,,3.9,,,96,71
EMMUS 2016,2016,Grand'Anse,412010,oui,AH_CIGA_M_25C,,0.0,,,17,33
EMMUS 2016,2016,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_25C,,4.4,,,29,54
EMMUS 2016,2016,Nord-Ouest,412012,oui,AH_CIGA_M_25C,,2.6,,,17,36
EMMUS 2016,2016,Reste de l'Ouest,412002,oui,AH_CIGA_M_25C,,0.7,,,58,30
EMMUS 2016,2016,Sud,412008,oui,AH_CIGA_M_25C,,0.0,,,23,25
EMMUS 2016,2016,Sud-Est,412003,oui,AH_CIGA_M_25C,,16.6,,,20,25
EMMUS 2000,2000,Aire métropolitaine,412001,oui,AH_CIGA_M_59C,,23.5,,,72,30
EMMUS 2000,2000,Artibonite,412006,oui,AH_CIGA_M_59C,,21.2,,,77,46
EMMUS 2000,2000,Centre,412007,oui,AH_CIGA_M_59C,,16.7,,,23,35
EMMUS 2000,2000,Grand'Anse et Nippes réunies,412009,non,AH_CIGA_M_59C,,29.5,,,38,55
EMMUS 2000,2000,Nord,412004,oui,AH_CIGA_M_59C,,21.8,,,32,44
EMMUS 2000,2000,Nord-Ouest,412012,oui,AH_CIGA_M_59C,,30.0,,,15,31
