pcode_commune,commune,departement,sante_min,hopital_min,ecole_min,marche_min,ecoles_declarees,ecoles_vues,ecoles_part_vue_pct,pop_ecart_ratio,part_arbres_pct,part_cultures_pct,part_bati_2020_pct,croissance_bati_pct,pvout_moyen,sante_declaree,sante_publique_declaree,sante_vue_osm,seismes_100km,seisme_max_mag,cyclones_100km,cyclone_vent_max_kmh,pluie_normale_mm,eau_permanente_km2,batiments_nb,familles_a_verifier,ecart_sante,ecart_ecoles,ecart_population
HT0742,Port-à-Piment,Sud,0.9,1.8,2.5,1.4,27,7,25.9,1.72,44.69,0.01,0.585,59.5,1574.5,1,0,1,99,7.2,56,259,1079.5,0.008,1785,1,1.0,3.86,1.72
HT0743,Roche à Bâteau,Sud,1.7,1.7,2.6,1.8,40,6,15.0,2.07,27.0,0.02,1.138,59.1,1645.1,1,0,1,102,7.2,57,259,1128.2,0.001,2876,1,1.0,6.67,2.07
HT0751,Chardonnières,Sud,3.9,3.9,2.9,6.0,46,12,26.1,1.56,41.41,0.03,0.366,60.8,1518.6,2,0,4,100,7.2,56,259,1145.9,0.003,3219,1,2.0,3.83,1.56
HT0752,Les Anglais,Sud,2.8,2.8,1.5,2.2,49,12,24.5,1.5,46.04,1.4,0.373,74.6,1499.3,1,0,2,100,7.2,55,259,1130.4,0.0,4288,1,2.0,4.08,1.5
HT0753,Tiburon,Sud,20.0,20.0,1.0,10.2,38,13,34.2,1.46,50.05,0.02,0.224,32.6,1581.6,1,0,,99,7.2,55,259,1105.8,0.083,2525,1,,2.92,1.46
HT0811,Jérémie,Grande'Anse,4.2,4.2,1.9,3.7,308,84,27.3,1.31,64.42,0.02,0.822,102.1,1515.2,13,0,29,106,7.2,57,259,1779.4,0.021,27910,1,2.23,3.67,1.31
HT0812,Abricots,Grande'Anse,4.4,4.4,1.4,4.5,71,30,42.3,1.84,80.69,0.0,0.751,68.9,1574.9,2,0,6,92,7.2,50,259,1547.8,0.059,4001,0,3.0,2.37,1.84
HT0813,Bonbon,Grande'Anse,5.7,5.7,0.2,1.3,15,12,80.0,1.57,79.01,0.0,0.881,68.3,1617.9,1,0,2,103,7.2,50,259,1588.6,0.004,1436,0,2.0,1.25,1.57
HT0814,Moron,Grande'Anse,3.0,3.0,2.7,3.0,50,8,16.0,1.3,81.42,0.0,0.262,84.3,1431.0,3,0,4,102,7.2,53,259,1732.9,0.0,4138,1,1.33,6.25,1.3
HT0815,Chambellan,Grande'Anse,1.0,1.0,1.0,0.8,51,5,9.8,1.44,90.21,0.0,0.477,82.1,1472.8,3,0,3,88,7.2,51,259,1739.7,0.0,2919,1,1.0,10.2,1.44
HT0821,Anse d'Hainault,Grande'Anse,0.9,0.9,0.4,2.2,64,6,9.4,2.0,88.72,0.0,0.409,56.7,1485.4,4,0,4,85,7.2,51,259,1443.4,0.028,4225,1,1.0,10.67,2.0
HT0822,Dame Marie,Grande'Anse,1.6,1.6,1.3,1.4,73,14,19.2,2.24,81.59,0.0,0.557,79.6,1548.5,5,0,5,80,7.2,52,259,1487.7,0.095,4215,1,1.0,5.21,2.24
HT0823,Les Irois,Grande'Anse,1.8,1.8,0.4,1.1,45,7,15.6,1.49,67.68,0.02,0.119,71.2,1454.2,2,0,2,85,7.2,53,259,1101.1,0.034,2369,1,1.0,6.43,1.49
HT0831,Corail,Grande'Anse,1.5,1.5,1.9,2.1,41,10,24.4,2.55,78.86,0.03,0.311,109.5,1607.0,4,0,6,133,7.2,52,259,1904.0,0.272,3040,1,1.5,4.1,2.55
HT0832,Roseaux,Grande'Anse,1.6,1.6,7.7,13.6,65,9,13.8,1.33,70.33,0.0,0.279,63.8,1530.1,4,0,5,110,7.2,59,259,1766.2,0.039,5327,1,1.25,7.22,1.33
HT0833,Beaumont,Grande'Anse,1.4,1.4,0.5,1.8,59,29,49.2,2.1,52.26,0.0,0.291,99.0,1486.8,2,0,3,115,7.2,55,259,2148.7,0.0,3760,0,1.5,2.03,2.1
