atmart_geo_id,pcode_commune,nom_commune,periode,annee_reference,sexe,tranche_age,borne_min,borne_max,rang_tranche,effectif,part_population,statut_valeur,niveau_qualite,source,date_source,date_extraction,version
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,30-34,30,34,7,42000,4.53,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,35-39,35,39,8,36316,3.92,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,40-44,40,44,9,33822,3.65,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,45-49,45,49,10,26359,2.84,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,50-54,50,54,11,19257,2.08,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,55-59,55,59,12,13147,1.42,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,60-64,60,64,13,8370,0.9,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,65-69,65,69,14,5940,0.64,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,70-74,70,74,15,2299,0.25,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,75-79,75,79,16,1182,0.13,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,M,80 et plus,80,,17,379,0.04,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,0-4,0,4,1,59059,6.37,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,5-9,5,9,2,72639,7.84,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,10-14,10,14,3,75704,8.17,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,15-19,15,19,4,89779,9.69,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,20-24,20,24,5,106432,11.48,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,25-29,25,29,6,90099,9.72,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,30-34,30,34,7,86960,9.38,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,35-39,35,39,8,78829,8.5,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,40-44,40,44,9,75999,8.2,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,45-49,45,49,10,62794,6.77,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
HTC-0111,HT0111,Port-au-Prince,HT-A-2024,2024,T,50-54,50,54,11,46205,4.98,E,B,UNFPA/OCHA HDX — COD-PS Haïti 2024 (CC BY-IGO),2024-10-26,2026-08-11,v1.2026.07
