serie_id,libelle,exercice,periode_debut,periode_fin,valeur_millions_htg,origine,premiere_publication_millions_htg,revision_pct,base_de_presentation,ecart_haitidocs_pct,classeur_scelle,source_id,attribution
TOFE-DEP-INV,Dépenses d'investissement,2002-2003,2002-10-01,2003-09-30,4026.0,révisée dans l'état de l'exercice suivant,4026.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_22_344faa2853.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2002-2003,2002-10-01,2003-09-30,15644.0,révisée dans l'état de l'exercice suivant,15644.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_22_344faa2853.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2002-2003,2002-10-01,2003-09-30,-3992.0,révisée dans l'état de l'exercice suivant,-3992.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_22_344faa2853.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2002-2003,2002-10-01,2003-09-30,-3316.0,révisée dans l'état de l'exercice suivant,-3316.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_22_344faa2853.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2002-2003,2002-10-01,2003-09-30,737.0,révisée dans l'état de l'exercice suivant,737.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_22_344faa2853.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2002-2003,2002-10-01,2003-09-30,2930.0,révisée dans l'état de l'exercice suivant,2930.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_22_344faa2853.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2003-2004,2003-10-01,2004-09-30,12607.165,révisée dans l'état de l'exercice suivant,12607.165,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),-0.0,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2003-2004,2003-10-01,2004-09-30,12213.218,révisée dans l'état de l'exercice suivant,12213.218,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2003-2004,2003-10-01,2004-09-30,3656.159,révisée dans l'état de l'exercice suivant,3656.159,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2003-2004,2003-10-01,2004-09-30,16445.56,révisée dans l'état de l'exercice suivant,16445.56,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2003-2004,2003-10-01,2004-09-30,-1573.211,révisée dans l'état de l'exercice suivant,-1573.211,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2003-2004,2003-10-01,2004-09-30,-1799.186,révisée dans l'état de l'exercice suivant,-1799.186,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2003-2004,2003-10-01,2004-09-30,-11.0,révisée dans l'état de l'exercice suivant,-11.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2003-2004,2003-10-01,2004-09-30,3048.0,révisée dans l'état de l'exercice suivant,3048.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_21_bc3e248948.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2004-2005,2004-10-01,2005-09-30,16256.0,révisée dans l'état de l'exercice suivant,16256.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2004-2005,2004-10-01,2005-09-30,14317.0,révisée dans l'état de l'exercice suivant,14317.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2004-2005,2004-10-01,2005-09-30,3105.0,révisée dans l'état de l'exercice suivant,3105.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2004-2005,2004-10-01,2005-09-30,19633.0,révisée dans l'état de l'exercice suivant,19633.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2004-2005,2004-10-01,2005-09-30,-1928.0,révisée dans l'état de l'exercice suivant,-1928.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2004-2005,2004-10-01,2005-09-30,1060.0,révisée dans l'état de l'exercice suivant,1060.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2004-2005,2004-10-01,2005-09-30,841.0,révisée dans l'état de l'exercice suivant,841.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2004-2005,2004-10-01,2005-09-30,-289.0,révisée dans l'état de l'exercice suivant,-289.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_20_93e5b7f4ee.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2005-2006,2005-10-01,2006-09-30,20111.0,révisée dans l'état de l'exercice suivant,20111.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2005-2006,2005-10-01,2006-09-30,18373.0,révisée dans l'état de l'exercice suivant,18373.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2005-2006,2005-10-01,2006-09-30,2720.0,révisée dans l'état de l'exercice suivant,2720.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2005-2006,2005-10-01,2006-09-30,22745.0,révisée dans l'état de l'exercice suivant,22745.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2005-2006,2005-10-01,2006-09-30,-1019.0,révisée dans l'état de l'exercice suivant,-1019.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2005-2006,2005-10-01,2006-09-30,-1652.0,révisée dans l'état de l'exercice suivant,-1652.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2005-2006,2005-10-01,2006-09-30,951.0,révisée dans l'état de l'exercice suivant,951.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2005-2006,2005-10-01,2006-09-30,-311.0,révisée dans l'état de l'exercice suivant,-311.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2006-2007,2006-10-01,2007-09-30,23197.0,état de l'exercice (seule version disponible),23197.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2006-2007,2006-10-01,2007-09-30,21165.0,état de l'exercice (seule version disponible),21165.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2006-2007,2006-10-01,2007-09-30,6042.0,état de l'exercice (seule version disponible),6042.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2006-2007,2006-10-01,2007-09-30,28496.0,état de l'exercice (seule version disponible),28496.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2006-2007,2006-10-01,2007-09-30,1210.0,état de l'exercice (seule version disponible),1210.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2006-2007,2006-10-01,2007-09-30,-4192.0,état de l'exercice (seule version disponible),-4192.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2006-2007,2006-10-01,2007-09-30,448.0,état de l'exercice (seule version disponible),448.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2006-2007,2006-10-01,2007-09-30,-1759.0,état de l'exercice (seule version disponible),-1759.0,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_19_dcd9e25ee6.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2007-2008,2007-10-01,2008-09-30,26848.136,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),-0.0,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2007-2008,2007-10-01,2008-09-30,26693.647,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2007-2008,2007-10-01,2008-09-30,6045.598,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2007-2008,2007-10-01,2008-09-30,33920.27,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),-0.0,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2007-2008,2007-10-01,2008-09-30,-3096.048,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2007-2008,2007-10-01,2008-09-30,-6238.043,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2007-2008,2007-10-01,2008-09-30,3669.145,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2007-2008,2007-10-01,2008-09-30,-776.597,révisée dans l'état de l'exercice suivant,,,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_18_4ad26abb3a.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2008-2009,2008-10-01,2009-09-30,29880.932,révisée dans l'état de l'exercice suivant,29880.932,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2008-2009,2008-10-01,2009-09-30,28265.315,révisée dans l'état de l'exercice suivant,28265.315,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2008-2009,2008-10-01,2009-09-30,2575.639,révisée dans l'état de l'exercice suivant,2575.639,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2008-2009,2008-10-01,2009-09-30,33838.0,révisée dans l'état de l'exercice suivant,33838.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2008-2009,2008-10-01,2009-09-30,-1266.022,révisée dans l'état de l'exercice suivant,-1266.022,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2008-2009,2008-10-01,2009-09-30,-1425.0,révisée dans l'état de l'exercice suivant,-1425.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2008-2009,2008-10-01,2009-09-30,834.0,révisée dans l'état de l'exercice suivant,834.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2008-2009,2008-10-01,2009-09-30,207.0,révisée dans l'état de l'exercice suivant,207.0,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_17_caaafd0e03.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2009-2010,2009-10-01,2010-09-30,31425.41,révisée dans l'état de l'exercice suivant,31425.41,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),-0.0,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2009-2010,2009-10-01,2010-09-30,27301.425,révisée dans l'état de l'exercice suivant,27301.425,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2009-2010,2009-10-01,2010-09-30,11408.147,révisée dans l'état de l'exercice suivant,11408.147,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2009-2010,2009-10-01,2010-09-30,39052.726,révisée dans l'état de l'exercice suivant,39052.726,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),0.0,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2009-2010,2009-10-01,2010-09-30,-5893.735,révisée dans l'état de l'exercice suivant,-5893.735,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-PRI,Solde primaire,2009-2010,2009-10-01,2010-09-30,-7339.982,révisée dans l'état de l'exercice suivant,-7339.982,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-EXT,Financement externe net,2009-2010,2009-10-01,2010-09-30,5918.981,révisée dans l'état de l'exercice suivant,5918.981,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-FIN-INT,Financement interne net,2009-2010,2009-10-01,2010-09-30,-25.436,révisée dans l'état de l'exercice suivant,-25.436,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_16_9acec1859c.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-REC,Recettes totales de l'administration centrale,2010-2011,2010-10-01,2011-09-30,39139.394,révisée dans l'état de l'exercice suivant,39139.394,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),-0.0,candidat_15_7c1a4abac7.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-COU,Dépenses courantes,2010-2011,2010-10-01,2011-09-30,30349.981,révisée dans l'état de l'exercice suivant,30349.981,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_15_7c1a4abac7.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-INV,Dépenses d'investissement,2010-2011,2010-10-01,2011-09-30,6992.768,révisée dans l'état de l'exercice suivant,6992.768,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_15_7c1a4abac7.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-DEP-DEC,Dépenses totales décaissées (base caisse),2010-2011,2010-10-01,2011-09-30,38374.364,révisée dans l'état de l'exercice suivant,38374.364,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),-0.0,candidat_15_7c1a4abac7.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
TOFE-SOL-CAI,Solde global (base caisse),2010-2011,2010-10-01,2011-09-30,160.621,révisée dans l'état de l'exercice suivant,160.621,0.0,état portant la ligne des prêts nets (jusqu'à 2018-2019),,candidat_15_7c1a4abac7.xls,SRC-024,"MEF — Tableau des opérations financières de l'État, état annuel (mef.gouv.ht/tofe)"
