banque,est_un_agregat,date_reference,trimestre,grandeur,valeur,unite,source_id,source,licence,attribution,date_extraction
Sogebank,non,2022-09-30,2022-T3,Comptes de dépôt,653112.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebel,non,2022-09-30,2022-T3,Comptes de dépôt,8222.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Unibank,non,2022-09-30,2022-T3,Comptes de dépôt,1299822.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Nationale de Crédit,non,2022-09-30,2022-T3,Comptes de prêt,28662.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Populaire Haïtienne,non,2022-09-30,2022-T3,Comptes de prêt,198.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque de l'Union Haïtienne,non,2022-09-30,2022-T3,Comptes de prêt,702.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Capital Bank,non,2022-09-30,2022-T3,Comptes de prêt,4944.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Citibank N.A. (succursale d'Haïti),non,2022-09-30,2022-T3,Comptes de prêt,1.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Ensemble du système,oui,2022-09-30,2022-T3,Comptes de prêt,79508.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebank,non,2022-09-30,2022-T3,Comptes de prêt,30929.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebel,non,2022-09-30,2022-T3,Comptes de prêt,443.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Unibank,non,2022-09-30,2022-T3,Comptes de prêt,13629.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Nationale de Crédit,non,2022-09-30,2022-T3,Dépôts totaux,92094057.0,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Populaire Haïtienne,non,2022-09-30,2022-T3,Dépôts totaux,4690683.7,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque de l'Union Haïtienne,non,2022-09-30,2022-T3,Dépôts totaux,37778219.0,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Capital Bank,non,2022-09-30,2022-T3,Dépôts totaux,37028252.0,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Citibank N.A. (succursale d'Haïti),non,2022-09-30,2022-T3,Dépôts totaux,4088046.0,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Ensemble du système,oui,2022-09-30,2022-T3,Dépôts totaux,500181298.5,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebank,non,2022-09-30,2022-T3,Dépôts totaux,129332295.4,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebel,non,2022-09-30,2022-T3,Dépôts totaux,8021818.7,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Unibank,non,2022-09-30,2022-T3,Dépôts totaux,187147926.7,milliers de gourdes,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Nationale de Crédit,non,2022-09-30,2022-T3,Employés,854.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Populaire Haïtienne,non,2022-09-30,2022-T3,Employés,123.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque de l'Union Haïtienne,non,2022-09-30,2022-T3,Employés,487.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Capital Bank,non,2022-09-30,2022-T3,Employés,1351.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Citibank N.A. (succursale d'Haïti),non,2022-09-30,2022-T3,Employés,22.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Ensemble du système,oui,2022-09-30,2022-T3,Employés,5446.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebank,non,2022-09-30,2022-T3,Employés,1181.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Sogebel,non,2022-09-30,2022-T3,Employés,77.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Unibank,non,2022-09-30,2022-T3,Employés,1351.0,unités,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
Banque Nationale de Crédit,non,2022-09-30,2022-T3,Liquidité en % de l'actif,63.56,%,SRC-063,BRH — sommaire financier détaillé (CAMEL),"Données publiques haïtiennes — décret du 12/10/2005, art. 5 (textes officiels des autorités publiques et simples données)","BRH — Banque de la République d'Haïti, sommaire financier détaillé (indicateurs CAMEL) du système bancaire",2026-08-25
