atmart_geo_id,niveau_admin,type_entite,nom_fr,nom_ht,parent_atmart_geo_id,pcode,source_geo_id,chef_lieu_fr,chef_lieu_ht,chef_lieu_latitude,chef_lieu_longitude,superficie_km2,latitude,longitude,population,date_validite_debut,date_validite_fin,source,date_source,date_extraction,statut_valeur,methode,niveau_qualite,version
HTC-0922,3,Commune,Anse-à-Foleur,Ansafolè,HTA-092,HT0922,HT0922,Anse-à-Foleur,Ansafolè,19.892321,-72.619829,70.35,19.86029931,-72.62581721,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-0931,3,Commune,Môle Saint Nicolas,Mòl Sen Nikola,HTA-093,HT0931,HT0931,Môle Saint Nicolas,Mòl Sen Nikola,19.807848,-73.377434,230.55,19.77081586,-73.37625556,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-0932,3,Commune,Baie de Henne,Bèdeyèn,HTA-093,HT0932,HT0932,Baie de Henne,Bèdeyèn,19.663859,-73.209789,204.3,19.70898483,-73.2024878,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-0933,3,Commune,Bombardopolis,Bonbadopolis,HTA-093,HT0933,HT0933,Bombardopolis,Bonbadopolis,19.69114,-73.3375,186.65,19.69732132,-73.34715161,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-0934,3,Commune,Jean Rabel,Jan Rabèl,HTA-093,HT0934,HT0934,Jean Rabel,Jan Rabèl,19.904591,-73.195431,484.3,19.81281008,-73.14095273,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1011,3,Commune,Miragoâne,Miragwàn,HTA-101,HT1011,HT1011,Miragoâne,Miragwàn,18.444843,-73.088639,169.9,18.34136085,-73.05363034,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1012,3,Commune,Petite Rivière de Nippes,Ti Rivyè Nip,HTA-101,HT1012,HT1012,Petite Rivière de Nippes,Ti Rivyè Nip,18.475928,-73.241049,89.63,18.44910218,-73.19155063,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1013,3,Commune,Fonds des Nègres,Fon dènèg,HTA-101,HT1013,HT1013,Fonds des Nègres,Fon dènèg,18.358776,-73.241126,85.77,18.38618397,-73.24735739,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1014,3,Commune,Paillant,Payan,HTA-101,HT1014,HT1014,Paillant,Payan,18.418411,-73.143,65.93,18.4166481,-73.18249949,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1021,3,Commune,Anse-à-Veau,Ansavo,HTA-102,HT1021,HT1021,Anse-à-Veau,Ansavo,18.503487,-73.345276,106.72,18.4630593,-73.31798479,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1022,3,Commune,Petit Trou de Nippes,Ti Trou Nip,HTA-102,HT1022,HT1022,Petit Trou de Nippes,Ti Trou Nip,18.525965,-73.508086,154.32,18.45344974,-73.47424397,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1023,3,Commune,L'Asile,Lazil,HTA-102,HT1023,HT1023,L'Asile,Lazil,18.384409,-73.414436,157.21,18.39414137,-73.38874147,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1024,3,Commune,Arnaud,Ano,HTA-102,HT1024,HT1024,Arnaud,Ano,18.447444,-73.388474,74.07,18.44819158,-73.38641233,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1025,3,Commune,Plaisance du Sud,Plezans Disid,HTA-102,HT1025,HT1025,Plaisance du Sud,Plezans Disid,18.429452,-73.600826,91.33,18.42531534,-73.55816113,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1031,3,Commune,Baradères,Baradè,HTA-103,HT1031,HT1031,Baradères,Baradè,18.482941,-73.638702,186.24,18.4737711,-73.6724434,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
HTC-1032,3,Commune,Grand-Boucan,Gran Boukan,HTA-103,HT1032,HT1032,Grand-Boucan,Gran Boukan,18.554313,-73.591826,44.82,18.56777882,-73.64650752,,2018-11-29,,CNIGS / UN OCHA COD-AB Haiti,2026-01-26,2026-07-31,O,Nom kreyòl repris de la couche des chefs-lieux ; superficie = somme des sections communales ; coordonnées = centre officiel CNIGS de la commune (le chef-lieu a ses propres coordonnées),A,v1.2026.07
