pcode_commune,nom_commune,operateur,genre,unite,valeur,source_id,millesime,licence
HT0211,Jacmel,Voilà,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,opérateur non précisé,accès internet public,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,opérateur non précisé,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,opérateur non précisé,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0211,Jacmel,opérateur non précisé,site de communication,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0212,Marigot,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0212,Marigot,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0213,Cayes-Jacmel,Digicel,site de communication,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0214,La Vallee,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,Digicel,boutique mobile,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,Digicel,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,Digicel,site de communication,nombre,6,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,Natcom,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,opérateur non précisé,accès internet public,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,opérateur non précisé,boutique mobile,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,opérateur non précisé,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0311,Cap-Haitien,opérateur non précisé,site de communication,nombre,8,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0312,Quartier Morin,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0312,Quartier Morin,Digicel,site de communication,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0312,Quartier Morin,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0312,Quartier Morin,opérateur non précisé,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0312,Quartier Morin,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0313,Limonade,Digicel,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0313,Limonade,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0313,Limonade,opérateur non précisé,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0313,Limonade,opérateur non précisé,site de communication,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0321,Acul du Nord,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0321,Acul du Nord,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0322,Plaine du Nord,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0322,Plaine du Nord,Digicel,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0322,Plaine du Nord,Natcom,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0331,Grande Riviere Du Nord,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0332,Bahon,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0332,Bahon,Natcom,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0332,Bahon,opérateur non précisé,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0341,Saint-Raphael,Digicel,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0341,Saint-Raphael,Natcom,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0341,Saint-Raphael,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0343,Ranquitte,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0343,Ranquitte,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0344,Pignon,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0345,La Victoire,Digicel,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0361,Limbe,opérateur non précisé,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0411,Fort-Liberte,Digicel,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0411,Fort-Liberte,Digicel,site de communication,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0411,Fort-Liberte,Natcom,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0411,Fort-Liberte,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
