pcode_commune,nom_commune,operateur,genre,unite,valeur,source_id,millesime,licence
HT0532,Verrettes,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0533,La Chapelle,opérateur non précisé,boutique mobile,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0541,Dessalines,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0544,Desdunes,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0544,Desdunes,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0551,Saint-Michel de l'Attalaye,Natcom,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0611,Hinche,Digicel,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0611,Hinche,opérateur non précisé,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0611,Hinche,opérateur non précisé,site de communication,nombre,6,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0614,Cerca Carvajal,Digicel,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0614,Cerca Carvajal,Natcom,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0621,Mirebalais,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0621,Mirebalais,Natcom,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0621,Mirebalais,Voilà,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0621,Mirebalais,opérateur non précisé,boutique mobile,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0621,Mirebalais,opérateur non précisé,site de communication,nombre,8,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0622,Saut d'Eau,Digicel,boutique mobile,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0622,Saut d'Eau,opérateur non précisé,boutique mobile,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0622,Saut d'Eau,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0623,Boucan Carre,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0623,Boucan Carre,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0632,Belladere,Digicel,boutique mobile,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0632,Belladere,opérateur non précisé,bureau d'opérateur,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0641,Cerca La Source,Digicel,site de communication,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0641,Cerca La Source,Natcom,site de communication,nombre,4,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0641,Cerca La Source,opérateur non précisé,site de communication,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0642,Thomassique,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0711,Les Cayes,Digicel,boutique mobile,nombre,5,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0711,Les Cayes,Natcom,boutique mobile,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0711,Les Cayes,Voilà,boutique mobile,nombre,2,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0711,Les Cayes,opérateur non précisé,boutique mobile,nombre,3,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
HT0711,Les Cayes,opérateur non précisé,site de communication,nombre,1,SRC-036,"OSM via Overpass, extrait le 15/08/2026",ODbL (© contributeurs OpenStreetMap)
